Protein.Group,Protein.Names,Genes,First.Protein.Description,PD2_F1,PD2_F2,PD3_F1,PD3_F2,PD5_F1,PD5_F2,PD13_F1,PD13_F2,PD14_F1,PD14_F2,PD1_F1,PD1_F2,PD7_F1,PD7_F2,PD9_F1,PD9_F2,PD10_F1,PD10_F2,PD12_F1,PD12_F2,CON4_F1,CON4_F2,CON5_F1,CON5_F2,CON6_F1,CON6_F2,CON7_F1,CON7_F2,CON8_F1,CON8_F2,CON10_F1,CON10_F2,CON12_F1,CON12_F2,CON13_F1,CON13_F2,CON14_F1,CON14_F2,CON15_F1,CON15_F2
A0A024R1R8;Q9Y2S6,TMA7B_HUMAN;TMA7_HUMAN,TMA7;TMA7B,Translation machinery-associated protein 7B,32180400,29098900,36394000,30633200,28424300,24894600,34470000,35718400,34293300,21842900,30333700,22832400,39381400,32144400,39092800,25298600,31697500,25454800,34631900,32007100,37763100,27704200,59140000,37655200,26757500,27451100,21575000,20401700,25435700,21430200,58247100,38740900,29493100,34624700,37451600,46590000,25582700,34103900,16225900,12885500
A0A075B6H9,LV469_HUMAN,IGLV4-69,Immunoglobulin lambda variable 4-69,792662,NA,1771500,1547580,NA,NA,NA,NA,1711840,891667,469906,NA,1204620,NA,NA,676740,NA,NA,NA,NA,1196500,509452,NA,NA,NA,NA,4356260,NA,NA,NA,NA,NA,NA,777215,1488960,NA,NA,NA,1065460,190141
A0A075B6I0,LV861_HUMAN,IGLV8-61,Immunoglobulin lambda variable 8-61,716281,NA,2447060,NA,1329040,559192,NA,NA,NA,NA,826032,746827,1242590,NA,1450780,780967,3022980,1674470,1138810,689382,2404450,1286930,371566,NA,NA,NA,2563300,NA,NA,NA,3950200,2411350,1167200,689142,3584340,2278950,236195,NA,879505,561417
A0A075B6I9,LV746_HUMAN,IGLV7-46,Immunoglobulin lambda variable 7-46,NA,NA,6062690,3821120,NA,NA,NA,NA,2223900,1596310,3824790,NA,5207960,NA,2887460,NA,3485060,2289080,NA,NA,4765350,2554000,NA,NA,NA,NA,6468020,NA,3550160,NA,4197980,3425570,1865620,NA,8298020,4136440,3011100,NA,3007760,NA
A0A075B6K4,LV310_HUMAN,IGLV3-10,Immunoglobulin lambda variable 3-10,NA,NA,2799710,NA,816282,NA,1407940,4073360,NA,NA,1444790,819605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2284510,NA,NA,NA,3672970,1342360,NA,NA,2055110,2152020,2652670,848156,NA,NA
A0A075B6K5,LV39_HUMAN,IGLV3-9,Immunoglobulin lambda variable 3-9,6670740,5738860,20733600,15549900,7671330,2733930,7210660,4672610,14944900,7941360,12655800,5667250,6789920,4501600,9231930,4748160,9488230,5472980,7492680,3258320,7792740,4333850,3086320,1953900,1736840,578790,12432400,521811,9426420,NA,13313300,12714000,7724410,7265810,14980800,8474880,15461200,12724400,2842600,1335970
A0A075B6P5;P01615,KV228_HUMAN;KVD28_HUMAN,IGKV2-28;IGKV2D-28,Immunoglobulin kappa variable 2-28,1620510,NA,5518300,3243940,1332310,NA,855824,NA,3439620,1451800,2580650,1542950,4081500,1745780,4308160,1885790,6698190,3173770,1707830,1332330,3810180,1388440,1045900,NA,NA,NA,4564380,NA,3140550,NA,NA,1532190,1978720,NA,7795510,3757140,2532180,1319920,2026850,944330
A0A075B6R2,HV404_HUMAN,IGHV4-4,Immunoglobulin heavy variable 4-4,509949,NA,3740820,NA,1650780,NA,846155,740323,2490240,NA,1444320,NA,1773300,NA,2251220,1222160,1694570,680457,697858,1201430,2072540,NA,NA,NA,NA,NA,1579870,NA,597046,NA,2007940,2392230,NA,NA,2978280,NA,3081830,NA,896929,NA
A0A075B6R9;A0A0C4DH68,KV224_HUMAN;KVD24_HUMAN,IGKV2-24;IGKV2D-24,Probable non-functional immunoglobulin kappa variable 2D-24,2236100,NA,4207630,3728490,1937200,NA,1229560,NA,NA,NA,2667160,NA,1894120,NA,2920060,2408900,1715090,NA,NA,NA,2417940,1595900,NA,NA,NA,NA,2205220,1544390,2020300,NA,5143380,2000440,NA,1412130,4452840,3102140,3354950,2580610,2726240,2003130
A0A075B6S2,KVD29_HUMAN,IGKV2D-29,Immunoglobulin kappa variable 2D-29,25620900,14500500,64361000,42230200,31970800,16821200,15571600,11314800,31794900,15350200,32222200,15290400,47344400,31598200,44036700,28571500,49057500,30284300,19421900,13771800,32045000,17639000,7613060,5543800,2160120,NA,54511600,7268500,21735500,9169550,58803900,21188000,19522000,18289400,35288400,43137700,37394200,27647300,30457000,19941700
A0A075B6S5,KV127_HUMAN,IGKV1-27,Immunoglobulin kappa variable 1-27,327704,318862,1772940,790245,707889,397730,369035,209441,1090560,455673,903985,307801,1082910,703073,940742,770071,1282000,776348,411569,NA,1136180,609050,227419,137962,NA,NA,1191920,206573,436292,NA,NA,591819,438081,438268,2280910,898251,1365440,910770,752536,414910
A0A087WSY6,KVD15_HUMAN,IGKV3D-15,Immunoglobulin kappa variable 3D-15,366409,202821,903960,766554,1128480,456427,389858,357482,1678410,569646,683758,477034,462752,228603,639580,210205,936234,715238,343850,NA,447930,NA,NA,NA,NA,NA,908434,NA,475774,NA,789774,915405,367986,324271,1113860,408531,408558,376592,387104,281827
A0A087WW87;P01614,KV240_HUMAN;KVD40_HUMAN,IGKV2-40;IGKV2D-40,Immunoglobulin kappa variable 2-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121596,NA,81458.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60131.1,NA,NA,NA,NA,NA
A0A0A0MRZ8;P04433,KV311_HUMAN;KVD11_HUMAN,IGKV3-11;IGKV3D-11,Immunoglobulin kappa variable 3D-11,8549910,5731480,18452900,13412300,9050410,5918660,5354900,4532450,20371100,9856360,8975540,6549930,13604500,11074100,14885800,13756400,28967000,16130800,7564400,5930860,13351100,8179150,5818150,3976790,1267820,1007500,36409300,1221620,10816100,NA,18149500,9845440,12355900,7354610,29613100,18031700,18252500,13479400,12076300,7772460
A0A0A0MS15,HV349_HUMAN,IGHV3-49,Immunoglobulin heavy variable 3-49,NA,NA,10367500,6553380,1722300,NA,636995,NA,2575500,1479260,NA,NA,1888160,1395650,2353130,927123,2185740,1174410,1428200,1119340,2546630,NA,NA,NA,NA,NA,3308180,NA,NA,NA,5035050,3507710,1698780,1288090,3011140,1194560,4798870,3606200,924393,348647
A0A0A0MT36,KVD21_HUMAN,IGKV6D-21,Immunoglobulin kappa variable 6D-21,8454.16,NA,46489.2,NA,50087.1,26488.6,50563.8,25489.9,26511.8,NA,NA,NA,10700.6,NA,44441.6,NA,7894.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,161132,NA,NA,NA,NA,NA,NA,NA,64324.3,NA,NA,NA,NA,NA
A0A0A0MT89,KJ01_HUMAN,IGKJ1,Immunoglobulin kappa joining 1,NA,NA,1702610,NA,NA,NA,732879,NA,1713780,NA,NA,458364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,918750,NA,NA,NA,NA,NA,NA,NA,NA,NA,1039820,NA,NA,NA
A0A0B4J1U3,LV136_HUMAN,IGLV1-36,Immunoglobulin lambda variable 1-36,NA,NA,246343,NA,NA,NA,83171.7,NA,149904,NA,335135,148808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110654,NA,232270,NA,NA,NA,208757,NA,805820,557534,305077,NA,248001,NA
A0A0B4J1U7,HV601_HUMAN,IGHV6-1,Immunoglobulin heavy variable 6-1,1429290,1189480,4539010,3394200,1378450,841982,582660,NA,2393910,1062540,2837010,1689880,1741230,772287,3111520,1834110,2095770,1052930,1817710,1214100,2545450,1121580,529942,NA,NA,NA,5625850,NA,1525380,NA,1983710,1715820,897491,NA,2860680,959010,1926390,1663450,1741310,855914
A0A0B4J1V0,HV315_HUMAN,IGHV3-15,Immunoglobulin heavy variable 3-15,5411700,3379610,16466700,9448540,9611040,4404100,3663670,3777260,12331700,6243350,8660340,3483250,8029860,6234720,9646330,7207520,7552540,4639840,6973140,3821020,7527130,3442550,1081110,NA,NA,NA,12534400,669641,4937810,NA,22081000,11403000,4433090,3204100,13712100,4614330,16536800,12024000,7679070,3787620
A0A0B4J1V2,HV226_HUMAN,IGHV2-26,Immunoglobulin heavy variable 2-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81597.2,NA,NA,NA,NA,NA,58710.3,56803.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90451.1,NA,98251.5,NA,34472.3,NA
A0A0B4J1X5,HV374_HUMAN,IGHV3-74,Immunoglobulin heavy variable 3-74,6644790,4237900,10074300,7842540,4342760,1553090,1632500,892516,7429960,3927700,7823030,4660030,5882880,2433750,3212950,1699900,3642780,2526750,2946630,1728810,2903460,1134080,621786,891242,183503,NA,8746270,416558,4716610,NA,5166980,6002820,2109590,1218220,8795040,1871060,6239380,4881640,6222010,3321080
A0A0B4J1Y8,LV949_HUMAN,IGLV9-49,Immunoglobulin lambda variable 9-49,NA,NA,1204010,1048860,NA,NA,258719,280804,564304,488686,352669,316066,754700,NA,241405,289150,1522190,857810,NA,NA,330453,NA,NA,NA,NA,NA,1576010,243378,320064,NA,735089,712224,NA,NA,NA,NA,1537520,934858,NA,NA
A0A0B4J1Y9,HV372_HUMAN,IGHV3-72,Immunoglobulin heavy variable 3-72,NA,NA,180844,87655.8,120320,NA,24197,NA,217429,NA,78402.1,51449.9,217180,NA,125150,NA,177931,61661.6,50964.4,NA,87590.9,NA,NA,NA,NA,NA,31150.1,28963,48932.7,NA,146393,80625.8,67478.9,94392.4,190749,NA,NA,NA,85681.5,NA
A0A0B4J2D5;P0DPI2,GAL3A_HUMAN;GAL3B_HUMAN,GATD3;GATD3B,"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",125294000,298313000,38690100,116534000,100932000,305410000,23624600,69616600,103947000,262354000,98457800,292304000,47011700,189419000,153300000,377564000,28782600,90631700,34001200,111918000,31857100,118467000,30089400,72796200,55389900,237888000,89182700,455407000,178523000,441395000,46354200,96222500,55303800,288356000,31820600,93562300,39046500,136772000,112899000,211861000
A0A0B4J2D9;P0DP09,KV113_HUMAN;KVD13_HUMAN,IGKV1-13;IGKV1D-13,Immunoglobulin kappa variable 1D-13,NA,NA,NA,NA,3200610,2464690,NA,NA,NA,NA,2944060,1515180,NA,NA,4232290,2236350,NA,NA,2311040,1849290,NA,NA,1454720,454204,NA,NA,482093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1881140,911235
A0A0C4DH24,KV621_HUMAN,IGKV6-21,Immunoglobulin kappa variable 6-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37817.5,NA,NA,NA,63877.7,NA,60830,NA,NA,NA,54627.3,NA,NA,NA,NA,NA,31257.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44235.5,NA
A0A0C4DH25,KVD20_HUMAN,IGKV3D-20,Immunoglobulin kappa variable 3D-20,3516850,1874030,6074170,3020490,2768020,1591890,1887590,1052170,5013340,2123610,2364870,1287070,2833970,3429780,3297290,1927590,3389300,3482780,2130690,1290820,5537620,2588640,501713,819166,285620,NA,8204230,NA,2993220,NA,4227190,1763550,1899890,1750830,8750460,5190070,2604440,2095490,2255500,975330
A0A0C4DH31,HV118_HUMAN,IGHV1-18,Immunoglobulin heavy variable 1-18,60597.1,NA,293212,176261,166078,NA,79175.3,NA,170582,53789.4,156749,153148,208836,NA,349994,NA,595221,133088,85120.5,359236,287492,NA,133386,NA,NA,NA,195445,NA,99347.3,NA,536476,167134,140022,218531,524500,NA,423619,NA,388924,34214.6
A0A0C4DH34,HV428_HUMAN,IGHV4-28,Immunoglobulin heavy variable 4-28,NA,NA,NA,NA,426983,NA,NA,NA,NA,NA,422722,527335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1034890,NA,388860,NA,NA,NA,NA,NA,902195,NA,403269,NA,NA,NA
A0A0C4DH35,HV335_HUMAN,IGHV3-35,Probable non-functional immunoglobulin heavy variable 3-35,NA,NA,196608,NA,NA,NA,56926.3,NA,NA,NA,138182,NA,57256.8,NA,NA,NA,NA,NA,NA,117420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,527513,NA,80516.9,NA,NA,NA
A0A0C4DH38,HV551_HUMAN,IGHV5-51,Immunoglobulin heavy variable 5-51,535593,NA,3207740,2027610,523357,397346,719892,687046,1574440,1103960,962093,632234,1318490,631879,1029830,951122,778484,376456,766611,290057,1222620,450967,NA,NA,374576,NA,1327550,NA,919949,NA,NA,1419070,473672,NA,932803,649149,1340650,784275,613132,275691
A0A0C4DH43,HV70D_HUMAN,IGHV2-70D,Immunoglobulin heavy variable 2-70D,1819550,1834510,14846000,9650220,NA,NA,840152,986904,1933510,986515,3692990,1700760,1811810,NA,1646030,674092,584623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1552630,NA,4773100,3496060,908650,NA,559881,NA,7142740,4874750,NA,NA
A0A0C4DH67;A0A0C4DH69,KV108_HUMAN;KV109_HUMAN,IGKV1-8;IGKV1-9,Immunoglobulin kappa variable 1-8,NA,NA,145875,NA,107207,NA,63001.5,NA,NA,NA,124952,NA,NA,NA,NA,NA,NA,NA,NA,NA,121724,71509.3,NA,NA,NA,76053.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185062,NA,NA,NA
A0A0C4DH72,KV106_HUMAN,IGKV1-6,Immunoglobulin kappa variable 1-6,994583,891300,4464350,2984520,1424990,613965,721438,785365,2284700,1200180,1802470,1002050,954633,NA,1647000,1675540,2433100,661840,945322,824483,2440200,NA,377196,NA,460584,NA,3224570,NA,1072730,NA,NA,1286690,1305350,903103,3228930,1771230,2583130,1437930,1409260,NA
A0A0J9YX94,PMA6F_HUMAN,PNMA6F,Paraneoplastic antigen Ma6F,184604,NA,NA,NA,408196,409464,331575,415659,508279,541270,1451640,1357210,NA,NA,NA,NA,NA,NA,NA,233664,347439,597752,NA,NA,293049,338825,NA,NA,NA,NA,NA,NA,NA,NA,276427,NA,NA,NA,NA,NA
A0A0U1RQS6,TM275_HUMAN,TMEM275,Transmembrane protein 275,NA,521013,NA,1635520,NA,2281010,NA,616053,NA,1350860,NA,1203390,NA,514256,NA,353405,NA,250755,NA,1613600,NA,1866870,NA,310759,NA,434999,NA,NA,NA,334692,NA,308117,NA,355178,NA,314228,NA,170868,NA,273905
A0A3B3IU46;Q9BTL3,RAMAC_HUMAN;RMACL_HUMAN,RAMAC;RAMACL,RNA guanine-N7 methyltransferase-activating subunit-like protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1621980
A0A7I2V3R4,RN228_HUMAN,RNF228,RING finger protein 228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1110340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4317610
A0AV96,RBM47_HUMAN,RBM47,RNA-binding protein 47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1052360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0AVT1,UBA6_HUMAN,UBA6,Ubiquitin-like modifier-activating enzyme 6,574404,2238590,3268700,3693130,5130550,6118400,3690110,4641440,3620340,4885320,6818180,6464730,NA,2523270,5248780,5839800,5446690,5611730,7559010,7360270,2444790,4632310,3826050,3551470,1351720,3134200,10487700,7055990,7613330,4071490,2052560,1863400,NA,2423200,NA,775965,1442440,2830870,14518300,8993250
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,1150800,3229500,3243210,5589140,2338850,5972420,2351070,5027850,1883440,4075950,3480650,7437120,1114100,3008610,2108580,6515690,3775590,7001560,2919900,5788950,2251200,5268950,2170850,3314010,1728630,4473400,3714240,9237650,3114770,3192380,NA,1966660,NA,2568950,NA,1284350,1528740,3221710,6965960,14982700
A0JNW5,BLT3B_HUMAN,BLTP3B,Bridge-like lipid transfer protein family member 3B,NA,NA,NA,NA,12214.7,35198,NA,NA,10835.3,23831.2,11091.6,19935.4,NA,NA,19952.9,20490.4,NA,22915,NA,20741.6,NA,26804.9,10086,NA,NA,23854.1,6905.51,21205.3,NA,NA,NA,NA,9676.47,24561.1,NA,NA,NA,10888.1,28964.3,28022.4
A0M8Q6,IGLC7_HUMAN,IGLC7,Immunoglobulin lambda constant 7,132148000,79103300,458601000,322611000,148622000,92410900,83606400,77144100,283913000,137498000,203163000,121201000,318746000,104018000,208383000,118569000,204684000,99677200,100352000,77181200,170518000,67588100,46932200,49671500,1676650000,641151000,338889000,21911700,139186000,101379000,456456000,200227000,105720000,78358600,319588000,127638000,361875000,261585000,147478000,63289300
A0MZ66,SHOT1_HUMAN,SHTN1,Shootin-1,2576740,3724340,5366270,6005000,6508100,7866570,5653490,8306260,4992260,5182240,6981550,7811550,1820700,3068000,8499000,10863200,3689680,5452420,7050350,9117260,3443060,6646100,9637190,10563700,2745340,4474060,6095070,7574050,7742010,7249920,8847980,7672900,1525430,2455240,2347480,2886770,3773400,5564420,9010000,5837280
A0PG75,PLS5_HUMAN,PLSCR5,Phospholipid scramblase family member 5,4909260,NA,NA,NA,3282060,NA,5966860,20944200,6782500,NA,NA,NA,9142400,NA,NA,NA,NA,NA,NA,NA,6600800,NA,4719090,NA,3717670,32172800,3197110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0PJW6,TM223_HUMAN,TMEM223,Transmembrane protein 223,NA,NA,NA,NA,NA,91363.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229518
A1A5C7,S22AN_HUMAN,SLC22A23,Solute carrier family 22 member 23,238309,5765730,NA,3791640,NA,3884320,NA,2816830,NA,3401550,NA,4625710,NA,10932900,NA,5399900,NA,6201320,NA,3790810,NA,4758930,NA,3349150,NA,6233350,NA,6624160,NA,6317650,NA,4405980,NA,12709700,NA,5415330,NA,7007130,NA,7024550
A1A5D9,BICL2_HUMAN,BICDL2,BICD family-like cargo adapter 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3741630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1IGU5,ARH37_HUMAN,ARHGEF37,Rho guanine nucleotide exchange factor 37,NA,77558.5,94637.9,211288,105859,161661,63632.8,186086,106522,102519,154283,181716,NA,NA,118781,313824,78710.2,118803,95271.5,194427,61319.9,112274,84734.5,328207,39483.4,71093.4,142400,274048,103878,153038,44376.1,140909,54125.2,NA,NA,NA,NA,102929,81386.8,179128
A1L0T0,HACL2_HUMAN,ILVBL,2-hydroxyacyl-CoA lyase 2,256554,5803580,353846,3603710,311610,4571090,436421,3113450,483166,4011470,622681,4854270,NA,3984940,453950,4998460,499611,3807830,261409,4108880,597001,4126250,307310,2124520,418269,4926430,608592,4984780,650600,1221240,NA,1345560,324757,4280030,200157,1535200,338155,3077770,824916,7355100
A1L188,NDUF8_HUMAN,NDUFAF8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6399740,NA,NA,NA,NA,NA,21248600,NA,NA,NA,NA,NA,NA,NA,10258300,NA,NA,NA,NA,NA,NA
A1X283,SPD2B_HUMAN,SH3PXD2B,SH3 and PX domain-containing protein 2B,431222,597118,823055,701139,909186,847837,817485,1083080,790399,928191,1017390,910557,333785,511506,1116770,1043590,545291,598570,1148360,1133820,654576,755802,1640080,1697320,325105,507613,817376,954480,959368,815038,1156580,969486,265095,475260,313119,444085,885417,983870,702974,826551
A1Z1Q3,MACD2_HUMAN,MACROD2,ADP-ribose glycohydrolase MACROD2,9336870,7434920,10250800,8079110,8858960,6858400,11901800,8935940,12927200,8266100,13251300,10640800,15197900,11573700,17070300,10424900,32392600,17538500,8727510,6370030,10989400,7489050,18298600,13997200,32555700,19427300,17294700,13368700,21238800,20374100,14743900,11130300,17363700,13220500,13400600,8707250,25425000,16763200,28131600,18483600
A2NJV5,KV229_HUMAN,IGKV2-29,Immunoglobulin kappa variable 2-29,NA,NA,NA,NA,47164.7,NA,NA,NA,NA,NA,NA,NA,109850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2RRD8,ZN320_HUMAN,ZNF320,Zinc finger protein 320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1143160,NA,NA,NA,NA,NA,NA
A2RRP1,NBAS_HUMAN,NBAS,NBAS subunit of NRZ tethering complex,NA,NA,NA,NA,NA,242918,NA,206338,NA,251933,NA,346793,NA,NA,NA,193678,NA,273581,NA,249833,NA,180980,NA,NA,NA,253563,152460,359513,NA,NA,NA,NA,NA,287776,NA,NA,NA,201752,393064,1059860
A2RTX5,SYTC2_HUMAN,TARS3,"Threonine--tRNA ligase 2, cytoplasmic",2016060,2193100,3329670,3294150,3965650,3180620,3025570,3392410,4346860,3168390,4272080,3725460,2941680,2096470,3262070,3373170,4156490,3366110,2897100,3184300,2207110,2121780,2692180,3602790,4520840,3171980,3146820,1987090,3580330,2754530,4084370,3230630,2990610,2296640,2377030,2297470,3276670,2563680,4695300,2586370
A2RU30,TESP1_HUMAN,TESPA1,Protein TESPA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1005010,NA,672091,NA,NA,NA,NA,NA,NA,NA,NA,426828,2557740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2965420
A2RU49,HYKK_HUMAN,HYKK,Hydroxylysine kinase,102032,NA,161639,NA,118983,NA,NA,NA,111388,NA,102483,NA,202747,NA,NA,NA,129838,NA,156121,NA,152672,NA,125708,NA,NA,NA,NA,NA,140938,NA,314339,NA,NA,NA,292585,NA,104948,NA,126997,NA
A2RU67,F234B_HUMAN,FAM234B,Protein FAM234B,NA,1153920,NA,825967,NA,955335,NA,729994,NA,723140,NA,683898,57646.2,1715670,NA,784560,NA,1145290,NA,645975,55691.5,872352,NA,364169,NA,1060940,NA,1031270,156997,1377290,NA,342862,107477,1507290,NA,780912,42603.9,717851,155909,1514660
A2RUB1,MEIOC_HUMAN,MEIOC,Meiosis-specific coiled-coil domain-containing protein MEIOC,12559200,11348500,35607400,44683800,NA,23010200,19149000,22091100,NA,NA,NA,17721900,NA,14465900,21256200,25100500,13278500,10152700,26392700,40319500,28049000,NA,NA,23770400,17504300,12451000,19987200,18506300,26131200,NA,22437200,13190300,14936000,23914200,12919800,NA,NA,20881900,23951900,21787000
A2RUC4,TYW5_HUMAN,TYW5,tRNA wybutosine-synthesizing protein 5,375242,360214,466875,410814,386997,270207,410751,419790,334447,280050,434360,229511,507085,435063,434957,277874,399944,363942,321629,318738,436859,309729,706172,434889,311545,344578,288536,256125,122660,NA,745123,396223,601201,396329,838818,473294,453841,328443,300549,177925
A3KMH1,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,NA,NA,NA,NA,NA,48792.2,NA,NA,NA,64574.7,NA,93085.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71914.5,103680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84440.9
A4D126,ISPD_HUMAN,CRPPA,D-ribitol-5-phosphate cytidylyltransferase,1939960,1341000,2226030,1490830,1832470,1079420,1615750,1224640,2100510,1184530,2087710,1248820,2669140,1617220,1859190,1043720,2283330,1165490,1833000,1175690,1635600,1230060,2788060,1630230,2123280,1416880,1638880,834715,1778890,NA,2250320,1440730,2490370,1660700,2537810,2240050,2140550,1243480,1364460,710258
A4D1E9,GTPBA_HUMAN,GTPBP10,GTP-binding protein 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16404.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19547.5,99515
A4D1P6,WDR91_HUMAN,WDR91,WD repeat-containing protein 91,1462670,1499080,2420610,1836600,2098130,1649240,1670520,1464510,2221340,1776190,2026620,1497150,3363000,1455300,1730480,1813590,2174070,1715430,1914780,1738950,2044960,1442900,1499190,1039670,1413270,1356930,1439960,1543120,2179210,1500340,997758,1437670,1839390,1572970,2453230,1469550,2403000,1905550,3175280,1975290
A4D1U4,DEN11_HUMAN,DENND11,DENN domain-containing protein 11,NA,NA,NA,NA,NA,42791.8,NA,NA,NA,31066.7,NA,NA,NA,NA,NA,68489,NA,NA,NA,47493.8,NA,NA,NA,NA,NA,NA,NA,41758.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127883,153400
A4D2B0,MBLC1_HUMAN,MBLAC1,Metallo-beta-lactamase domain-containing protein 1,1828650,1165070,1776010,1291950,1206490,878837,1699550,1133000,1901720,964343,1306540,767033,2629820,1313130,839502,387607,1816540,1301470,1213560,811687,1434440,959651,1696590,1056410,2281260,1201960,1315110,938676,869467,NA,2122940,977938,2076700,1441800,2504160,1212540,1727120,1307100,1587630,659570
A5A3E0,POTEF_HUMAN,POTEF,POTE ankyrin domain family member F,2968680000,8714170000,2165460000,5791200000,3005220000,4380890000,2377910000,6988860000,3755160000,6346220000,2793300000,4806130000,2892670000,8676010000,3066720000,6683360000,2952850000,6138660000,2325490000,5071830000,3421790000,6179510000,2362140000,7312120000,2454020000,8882430000,2719430000,6904540000,3044650000,481987000,1713570000,10625600000,2558300000,10564200000,2476080000,7321800000,2404040000,6223510000,3841710000,6978480000
A5D6W6,FITM1_HUMAN,FITM1,Fat storage-inducing transmembrane protein 1,406029,NA,NA,NA,NA,NA,415706,NA,NA,NA,NA,NA,875324,819387,602482,NA,904865,460693,451246,425049,1450510,328627,2986310,NA,475384,NA,NA,NA,434113,NA,NA,1152140,949655,448161,5707540,2685370,NA,NA,NA,NA
A5D8V6,VP37C_HUMAN,VPS37C,Vacuolar protein sorting-associated protein 37C,NA,104184,NA,444319,NA,236683,NA,457326,NA,371448,NA,410066,NA,NA,NA,441113,NA,NA,NA,427394,NA,546546,NA,504473,NA,NA,458788,379151,NA,NA,NA,NA,NA,NA,NA,NA,NA,290595,NA,372189
A5PKW4,PSD1_HUMAN,PSD,PH and SEC7 domain-containing protein 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1033130,NA,NA,NA,NA,NA,NA,NA,NA,NA,1496810,NA,NA,NA,NA,NA,NA,NA,NA,NA,637163,488039,2553330
A5PLN9,TPC13_HUMAN,TRAPPC13,Trafficking protein particle complex subunit 13,NA,NA,NA,NA,250690,601431,NA,NA,NA,444403,341596,637518,NA,516571,NA,622359,NA,NA,261360,294873,NA,NA,NA,NA,NA,493876,445071,527895,440031,NA,NA,NA,NA,344899,NA,NA,NA,435275,747976,788406
