Protein.Group,Protein.Names,Genes,First.Protein.Description,PD2_F1,PD2_F2,PD3_F1,PD3_F2,PD5_F1,PD5_F2,PD13_F1,PD13_F2,PD14_F1,PD14_F2,PD1_F1,PD1_F2,PD7_F1,PD7_F2,PD9_F1,PD9_F2,PD10_F1,PD10_F2,PD12_F1,PD12_F2,CON4_F1,CON4_F2,CON5_F1,CON5_F2,CON6_F1,CON6_F2,CON7_F1,CON7_F2,CON8_F1,CON8_F2,CON10_F1,CON10_F2,CON12_F1,CON12_F2,CON13_F1,CON13_F2,CON14_F1,CON14_F2,CON15_F1,CON15_F2
Q9NQX5,NPDC1_HUMAN,NPDC1,Neural proliferation differentiation and control protein 1,NA,1067790,NA,1488810,284039,1126650,NA,1172770,254221,2068150,194346,2826060,NA,2290830,NA,2089260,NA,1341880,NA,951148,NA,1345400,NA,750262,230468,2157460,NA,1953450,NA,NA,NA,NA,NA,2018030,NA,1565010,NA,1180150,318801,2692710
Q9NQX7,ITM2C_HUMAN,ITM2C,Integral membrane protein 2C,NA,1704190,NA,1749580,NA,3624540,NA,2034680,NA,3289080,NA,5274590,NA,2007230,NA,2098730,NA,2181310,NA,2528800,NA,2533620,NA,1574880,NA,1448800,NA,2575340,NA,NA,NA,1009590,NA,2688590,NA,1120460,NA,2298320,NA,3055230
Q9NQY0,BIN3_HUMAN,BIN3,Bridging integrator 3,NA,NA,NA,1454120,NA,1021700,NA,1536400,NA,1283390,NA,1347990,NA,NA,833001,2903200,NA,1416300,890398,1859160,NA,NA,NA,2098170,NA,NA,1526610,2233470,NA,NA,531028,NA,NA,914756,NA,NA,NA,NA,NA,2282950
Q9NQZ2,SAS10_HUMAN,UTP3,Something about silencing protein 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107532,NA,NA,NA,NA,NA,NA,NA,NA,138477,NA,NA,NA,NA
Q9NQZ5,STAR7_HUMAN,STARD7,"StAR-related lipid transfer protein 7, mitochondrial",121144,207124,368503,439021,411946,326902,252689,368748,340486,482750,370433,497274,142219,234233,292591,293958,138065,355772,457663,480726,194459,264831,144081,367651,133894,281155,284740,430102,373481,354828,139550,269002,149055,304745,NA,206188,157200,279027,483587,732561
Q9NQZ6,ZC4H2_HUMAN,ZC4H2,Zinc finger C4H2 domain-containing protein,NA,NA,NA,NA,NA,NA,NA,690651,NA,NA,NA,NA,NA,NA,NA,2014280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NR09,BIRC6_HUMAN,BIRC6,Baculoviral IAP repeat-containing protein 6,NA,31504.2,NA,39571.6,43068.8,70169.3,NA,45778.6,NA,53185,57978.3,46649.1,NA,79789.7,28258.1,64436.9,29838.6,60897.9,32163.7,38035.6,40334.1,45978.5,NA,30400.5,NA,76614.2,73019.8,40011.1,46435,NA,NA,NA,NA,34814.4,NA,NA,NA,NA,58510.1,84730.5
Q9NR12,PDLI7_HUMAN,PDLIM7,PDZ and LIM domain protein 7,344205,589645,572725,1080140,484923,622075,1358430,6707530,1811640,4496920,1243010,2422890,1181130,763320,528213,1510880,910623,1004190,307649,649027,1376720,2034980,648021,1451300,674763,1376260,922704,2567840,828098,891826,NA,613207,1098520,1233120,1322450,1370780,739448,928994,1023690,4694660
Q9NR19,ACSA_HUMAN,ACSS2,"Acetyl-coenzyme A synthetase, cytoplasmic",314987,358244,420921,438730,733192,663745,206485,443092,791364,697037,764676,636226,NA,NA,910190,971771,NA,242199,664849,607654,236667,478454,380647,442825,206700,359777,1427720,1045810,991956,917066,NA,335119,NA,NA,NA,229522,NA,314287,958625,574624
Q9NR22,ANM8_HUMAN,PRMT8,Protein arginine N-methyltransferase 8,633307,2167970,1332440,1857770,649676,1051330,983056,1571310,1292970,1913080,1239080,1531370,717544,2243010,2058710,4120840,6219710,6551550,742176,1949150,1186730,1968200,2010270,3463290,2667750,9082040,3304980,5999480,3348760,1673510,NA,2860120,1684590,3907970,375557,1590050,3700190,5251440,3838150,6590670
